"sGen" "sGenxrec" "sGenxenv"
"105" 3.6933480890867e-05 8.27384269860407e-08 2.82026624609453e-07
"106" 1.13796620733202e-06 1.43997738404951e-06 5.74525262284293e-08
"107" 1.0518667660285e-06 4.8180583286933e-06 5.01731782738804e-06
"108" 2.5737803315028e-06 2.78265264293962e-06 7.19891271378511e-08
"109" 1.64705857951611e-08 1.35711558821055e-06 2.41221650708016e-09
"110" 6.41475856843406e-08 1.51770105167908e-05 3.07395599840796e-07
"111" 7.95931990103155e-07 1.86993216819332e-06 1.8277624873974e-07
"112" 1.02738490390846e-06 3.17669360929725e-06 5.20458872402386e-09
"113" 1.04611140705947e-06 2.64705567239548e-06 1.18301826732208e-06
"114" 1.14610733167119e-05 9.0527995965138e-07 3.81083468245336e-07
"115" 3.06054025287458e-05 3.06831233111941e-07 4.88324510525246e-07
"116" 7.68817414989072e-07 4.87919117994308e-07 2.51926588114917e-07
"117" 6.58355532671951e-08 4.28994353419833e-08 5.6705830941899e-07
"118" 5.15296302310771e-06 6.47278291080855e-06 2.0280733820801e-06
"119" 8.63456570353271e-07 3.18375518501479e-07 6.92749872087659e-07
"120" 2.52885162430867e-07 1.66052134112183e-05 3.6717428395397e-08
"121" 1.14891782250374e-07 3.36348457467954e-07 1.00352896931595e-06
"122" 1.13391391033298e-06 1.99798227742995e-06 2.8180674807437e-07
"123" 8.00362916818708e-07 1.55742305910671e-06 6.08621458219652e-07
"124" 2.13589586011242e-06 2.82553679856876e-08 3.94508267778534e-07
"125" 8.24275176505489e-07 1.09457969332424e-06 5.51513213344863e-06
"126" 3.37689975211325e-07 3.0198998325916e-06 8.59654796203618e-07
"127" 1.23976147629745e-06 1.31884127384504e-06 3.42534167905056e-06
"128" 3.3875751930833e-06 3.58876734060527e-06 1.90122809395049e-06
"129" 7.15070474533861e-07 4.9206944926218e-07 8.16191240607866e-06
"130" 5.55265531344145e-08 2.66455531694998e-09 1.55699051968065e-06
"131" 7.3587057274966e-07 2.89841246683887e-07 7.06492273372386e-06
"132" 7.0046642843393e-07 1.0920162838066e-06 9.52775455262804e-06
"133" 6.71585680253477e-07 3.39234146018697e-07 3.9296920712903e-06
"134" 4.22579288597107e-06 4.67290764330863e-07 9.91327681500797e-07
"135" 3.08796627242704e-07 2.93845006845648e-08 4.67510061162106e-06
"136" 1.39140489055901e-06 8.13084968558235e-07 3.55664343601191e-08
"137" 2.45350565915872e-08 1.89319098192891e-07 1.37633535598136e-06
"138" 6.2819331313228e-07 2.04259660618734e-07 3.07559442699236e-06
"139" 1.39476105298017e-07 3.43490825942489e-06 9.41492871553577e-06
"140" 6.88409428525197e-06 1.67159971535954e-06 4.74539064107835e-06
"141" 1.58720317670513e-06 8.8093829088418e-08 2.94411108888054e-06
"142" 2.14138672691802e-06 6.28186420169122e-06 2.88941889790458e-06
"143" 7.73359475516173e-07 1.53723017427397e-06 2.62511211258986e-08
"144" 3.16933920975434e-07 4.38709153415538e-06 1.52910209306608e-07
"145" 8.34373425503779e-07 1.08759933147235e-06 1.02643851655561e-06
"146" 7.87097957217057e-06 4.69587128649076e-06 1.24767802832937e-06
"147" 7.70816504907403e-08 3.09771912644172e-07 8.19067362492636e-07
"148" 1.03429818233595e-06 8.00374766200986e-09 6.79523284673928e-06
"149" 3.45479415275223e-06 3.32542974040785e-06 2.99275062612064e-06
"150" 6.29062436723775e-07 7.73711136407021e-06 5.10468279122367e-07
"151" 1.21378208383022e-06 2.12981501834561e-07 1.04792274860977e-06
"152" 3.35070675369557e-08 6.45902126482698e-08 6.81126425093742e-07
"153" 4.55982138888566e-07 3.15106238494616e-06 2.85355916166938e-08
"154" 5.21863059969347e-07 7.63641177215089e-07 2.04046587426424e-08
"155" 1.2523817570817e-06 9.91271452105564e-07 1.58848273360096e-07
"156" 2.70865073940881e-06 1.92551653072949e-06 1.63114733583193e-06
"157" 5.20464654777561e-06 2.80493779879337e-06 5.20228654278519e-07
"158" 7.69852025271199e-07 6.731721792892e-06 1.19857953038615e-09
"159" 2.42971580788218e-06 4.73517659204575e-07 1.1895659565361e-06
"160" 1.88219170366536e-06 1.36232112279679e-05 1.51482408794007e-07
"161" 4.23526503309185e-07 6.20093356444088e-06 3.01820408636136e-07
"162" 4.26249715428239e-09 4.74985739529871e-08 4.15152219194536e-08
"163" 1.39610827540255e-06 1.16073316728984e-07 2.98414122467885e-08
"164" 5.79647018660964e-09 2.35527210535926e-07 6.30466193086678e-06
"165" 7.48868199769553e-09 2.23574416563804e-06 6.11741423706217e-09
"166" 1.16364027633259e-06 6.38903021526578e-07 9.31583348065729e-06
"167" 4.23187930493707e-06 5.43213277397461e-07 1.51122509996332e-08
"168" 4.70518041543478e-07 5.09663628808779e-08 5.18203522408284e-07
"169" 2.11978363159969e-07 5.26677966452889e-06 1.80643486906698e-05
"170" 3.37592120725366e-08 4.50835270283832e-06 2.90402550274241e-08
"171" 5.16741837834716e-07 3.92580338866897e-08 1.34947187913431e-06
"172" 1.26816851902305e-05 3.07154106135999e-05 8.46404552079274e-07
"173" 7.17379776408725e-06 1.25681072147474e-06 2.84351543527779e-06
"174" 3.96611881299404e-09 1.0451892934966e-07 5.11525600150958e-06
"175" 1.97003643345486e-08 1.52794141094428e-06 2.72929176488847e-06
"176" 1.03448880489224e-06 1.1499565441047e-06 3.81908453056146e-06
"177" 1.89565365689546e-06 3.57031276039487e-06 2.08785827605359e-07
"178" 1.48057178868112e-06 7.71670872317078e-08 6.23321038561298e-06
"179" 4.46526162230063e-06 1.96287210064836e-09 8.67102151905051e-06
"180" 5.70063753288686e-06 7.08239301324287e-07 4.72733476831531e-08
"181" 1.444465607724e-06 3.89457191851919e-07 1.95571079977048e-06
"182" 5.73610596031183e-06 2.29646638541697e-06 1.1566890482754e-09
"183" 1.24205708784452e-06 6.73883175406376e-06 8.83398062619679e-06
"184" 1.19089291971491e-07 4.0861910788146e-07 1.18886392142564e-08
"185" 2.30424238974561e-07 1.19971269059325e-05 9.27877946367518e-08
"186" 3.47372253348734e-06 1.26141082729045e-05 5.24275403656669e-06
"187" 3.8396747764481e-06 5.09445027118652e-06 1.90147214203171e-06
"188" 8.24042097858705e-07 2.24476200039102e-06 2.21943179685148e-06
"189" 4.70521370358579e-06 1.18712795550902e-06 1.24372334221035e-05
"190" 5.10792426015677e-06 3.7187757105543e-06 3.47333644840892e-07
"191" 4.41339736599786e-06 4.64128220147863e-06 6.3734317254343e-06
"192" 1.02936461206074e-05 1.08856119554058e-07 1.25800100743705e-06
"193" 7.40821150225761e-07 3.81827332426869e-06 2.86335806094296e-06
"194" 7.9621430692284e-07 2.13917100094402e-08 5.30843037928077e-07
"195" 7.44158211971441e-06 1.72806149881438e-06 9.15347637417158e-07
"196" 2.06506310495441e-06 2.72348392033361e-06 1.35560950036354e-08
"197" 4.45969558424804e-07 2.08713848643534e-06 8.53433362345162e-06
"198" 2.8919215055605e-06 2.08243563406692e-06 5.23200284571515e-06
"199" 2.63365654751847e-06 5.49022761856708e-06 3.98574051661299e-07
"200" 1.1736388004409e-07 9.07357245678681e-07 3.28960642380143e-07
"201" 3.95759006299258e-06 1.10381861233153e-06 1.61149453167044e-07
"202" 1.22953510800814e-07 7.82370566213214e-09 1.43164604518738e-06
"203" 3.13924648710087e-06 3.22722909869256e-06 1.01325037281243e-07
"204" 2.05740357919018e-09 3.25159162316614e-06 3.33033370806646e-08
"205" 2.3608912793785e-07 2.52745499240242e-07 1.64681085248771e-07
"206" 1.59641807638809e-06 3.31269404564028e-08 2.85433323896092e-06
"207" 2.83560203945006e-06 7.14358917507949e-06 2.47147530475447e-07
"208" 2.95010788398274e-08 3.15915162838127e-07 2.6727393826402e-07
"209" 2.0525987015042e-06 4.40355337955287e-06 1.06628592621521e-05
"210" 1.42830656867627e-06 4.90761343852992e-06 1.81689295002541e-06
"211" 1.39059746819294e-06 1.36878741950181e-06 5.07601537405965e-06
"212" 1.27978929190462e-08 3.66512428609354e-06 9.10537602501368e-06
"213" 4.16974333114602e-07 6.88136923432637e-07 1.14158352977498e-06
"214" 8.38478227194488e-07 1.51973603607747e-06 1.70868322778409e-05
"215" 1.01979602322845e-07 5.97446684443972e-08 1.67871901564119e-06
"216" 1.93418052953512e-06 1.44689128332831e-06 1.25620576576702e-06
"217" 5.76963858531093e-07 4.06536106289063e-06 1.54067665692835e-06
"218" 1.3505574410402e-05 1.66205765416518e-06 4.6234769950104e-07
"219" 3.88719332411718e-06 9.20341800324644e-07 2.99033962192687e-06
"220" 7.23685493750259e-08 1.82702242102654e-06 1.06511963264145e-06
"221" 1.20898225829502e-06 1.22393492232712e-06 5.94684982217926e-07
"222" 3.53851217200779e-07 1.15339086028445e-06 1.22304539939809e-06
"223" 5.01547548406512e-07 6.08199552775075e-06 2.16849553345396e-06
"224" 2.39693625857676e-06 3.6376609891969e-06 1.17323847626031e-06
"225" 1.54686232069784e-07 2.09901471930688e-06 2.79894226615897e-06
"226" 8.26657198899634e-08 1.28472720620296e-07 1.27514515698245e-07
"227" 1.84754546575414e-06 5.09723212639757e-06 2.77294644520048e-05
"228" 2.0983433947416e-06 3.83106495243997e-07 5.24172229487644e-07
"229" 2.28215690630472e-06 6.32898212250679e-08 8.32397917006394e-07
"230" 2.361208787299e-06 6.26334877829384e-07 2.55422827325019e-06
"231" 8.6086752543312e-07 8.01364596600077e-07 1.79962595567362e-06
"232" 3.63165057345741e-06 4.59765373688327e-06 9.81119441700879e-07
"233" 2.56797292264235e-06 1.50997789986181e-07 1.09709697427444e-07
"234" 6.74853780308257e-07 3.61979756318769e-06 1.35464862907834e-06
"235" 5.85376992170263e-06 1.35740982210904e-10 9.07550279102441e-07
"236" 6.22416336503831e-07 1.64502081474437e-07 1.04777848463685e-07
"237" 5.023902388385e-07 4.33786514633931e-07 1.89350592376587e-06
"238" 7.09194574330032e-08 1.06447508466523e-07 7.47280466520935e-07
"239" 2.10425932261387e-06 5.14009113018757e-08 4.05804056624581e-07
"240" 1.19990530178792e-06 3.48245987223379e-07 1.27700317588962e-06
"241" 3.00214533164288e-07 7.3180536411092e-08 4.92285297219077e-06
"242" 1.25769136349524e-06 1.6406335457932e-05 8.13180347736762e-07
"243" 2.64485398256475e-06 7.65577783812485e-07 3.837256858404e-06
"244" 3.72293670342173e-07 8.24775862821477e-07 1.19290450307562e-06
"245" 1.0503711018012e-06 1.38944125372835e-06 1.46681838373231e-06
"246" 4.21071274657196e-07 3.57524578136763e-07 5.76028033181631e-06
"247" 6.11537541879018e-06 1.42799758801225e-08 9.26543956116324e-06
"248" 4.73797607501014e-07 1.3041727854069e-06 3.25953405843526e-06
"249" 1.1285918350339e-06 3.93875883290398e-06 1.24426884872312e-05
"250" 8.21435820410534e-08 2.92790768612241e-07 4.41110375929193e-06
"251" 6.63537795303344e-06 4.70634777875524e-07 1.6296688402902e-06
"252" 1.0112768182099e-05 6.36213590977379e-07 5.28811441536978e-08
"253" 1.49616308817065e-06 7.01792436846683e-06 2.88690286799341e-06
"254" 2.98838790053395e-06 5.5870806892666e-07 5.49211966159197e-07
"255" 1.21786308251151e-07 1.09825048178281e-06 7.75285207206223e-07
"256" 9.63780645999889e-08 1.17483639673448e-06 3.07440412191847e-06
"257" 2.54004498757096e-07 1.33262545279354e-06 4.20857753134303e-06
"258" 3.0364848346973e-06 3.07692065623554e-07 6.39151065591919e-07
"259" 4.84336236263117e-07 2.97488676468443e-06 2.53761157604596e-06
"260" 6.83742508855008e-07 1.42220337699609e-06 2.5157282035203e-06
"261" 1.43615953051291e-05 5.76382166223859e-06 1.31203588950509e-06
"262" 6.81827800611972e-06 1.95563764941284e-06 1.01604293428e-06
"263" 1.3247011740299e-06 3.82836563879382e-07 4.14188800603625e-06
"264" 1.72216921346038e-06 4.52926160539168e-06 1.00891374078666e-06
"265" 3.10458691891904e-06 2.46206206756085e-06 5.69105740872949e-07
"266" 1.6231736330552e-07 3.40689877936237e-07 1.67907839055761e-06
"267" 9.57011223345771e-07 1.3335899766106e-05 7.85404547708717e-06
"268" 1.58618921680727e-06 2.95478202128559e-07 1.94086726380934e-06
"269" 3.08490417403635e-06 3.02034505138167e-06 1.53259583732178e-06
"270" 2.86579970896387e-06 4.69910292006098e-06 3.96303626434973e-06
"271" 2.5721781041117e-06 1.36598660153987e-06 1.10590760532694e-06
"272" 1.73558060155076e-06 7.31357971640226e-07 9.27969701228953e-07
"273" 1.46579812768793e-06 8.20012875762248e-09 6.92491078242413e-06
"274" 2.70855067984536e-06 7.03053425630359e-06 6.04319355975268e-06
"275" 1.85628173614414e-06 5.00581730442258e-06 9.56299348394584e-09
"276" 6.70405169065338e-06 2.43789641348977e-06 1.28160071412918e-06
"277" 4.04016031183285e-08 1.44405319779364e-05 3.23105567816699e-06
"278" 1.79942297094046e-06 8.44792372580446e-07 1.88962491448434e-08
"279" 4.89942015486936e-07 6.79030984860234e-07 6.05150941011315e-06
"280" 1.12091802610364e-08 1.70229146198064e-06 3.65679793253361e-07
"281" 5.34417185794178e-07 5.94386930358636e-06 1.72129170776252e-06
"282" 1.47196288465119e-07 2.09669834586972e-06 1.86766025932269e-06
"283" 3.98949523376042e-06 9.07841136575078e-07 2.66041628785651e-07
"284" 1.26795310344003e-06 5.98302236608074e-09 2.12718437369879e-06
"285" 2.58381866486238e-06 6.12442054613194e-06 3.51486563262642e-08
"286" 1.87683047377332e-07 8.27047099784374e-07 9.18672904543843e-06
"287" 1.28450706636828e-06 3.571945792201e-07 6.72366403005333e-07
"288" 4.76564619659263e-07 5.55415459733593e-06 1.72754169460389e-06
"289" 4.97889843673375e-09 5.58192106923354e-08 5.62658686759941e-07
"290" 1.58215999013004e-06 7.96584612025216e-07 3.5148881058427e-07
"291" 4.57171068462669e-06 8.13486121885474e-07 5.25088420261421e-07
"292" 1.10930069163899e-06 7.21045865961521e-06 1.45169236694585e-06
"293" 1.09970285202664e-09 1.3578177089502e-06 8.28235360123334e-06
"294" 5.82669557362202e-07 5.64836629534694e-06 3.48884734734274e-07
"295" 3.42832950268249e-06 1.61939254297212e-05 3.30031103850839e-06
"296" 1.30634303167519e-06 1.63175127261888e-06 7.76240347178881e-08
"297" 2.26619385962917e-07 2.12487280945599e-06 1.08687467970087e-05
"298" 1.17965784793359e-06 1.05054199152252e-05 8.03887402190112e-07
"299" 1.47205051498287e-07 8.1779935231199e-06 1.90368929240899e-07
"300" 2.56614993510376e-07 1.48181134127086e-06 2.10701775851802e-06
"301" 1.28506970864159e-07 1.92960976890645e-07 1.55070008896463e-06
"302" 2.85099565701948e-07 2.47413769571991e-07 1.57659421771435e-05
"303" 1.87077498437653e-07 3.72979118590824e-06 2.74643202502674e-06
"304" 1.10569759768511e-05 7.56105033550821e-06 4.96439421575139e-06
"305" 5.19947327706946e-07 7.12452436752114e-06 5.35589653247315e-06
"306" 1.77176119818195e-06 1.50413956056834e-05 3.03277477106524e-06
"307" 5.07348631861113e-07 2.76673023090964e-06 3.15630030976749e-08
"308" 6.04074534115807e-07 4.03349016813051e-07 5.55879634083639e-06
"309" 2.7741216904177e-06 5.00081979564534e-07 5.52123565234022e-07
"310" 1.70082195882964e-06 4.97282198532337e-07 1.8037591474497e-07
"311" 4.72629231507393e-06 5.10500431064051e-07 5.85148867395145e-06
"312" 1.97374003467911e-07 7.58927585318011e-07 4.4180967780232e-07
"313" 7.93188707205368e-07 1.20126027000517e-06 3.16577299681365e-06
"314" 8.95910602450939e-07 4.77528067178933e-06 2.72555030407522e-06
"315" 8.55357002993219e-07 6.80650164379311e-07 4.94908882437663e-07
"316" 1.09760301235256e-07 1.26178860970623e-06 6.5856886035307e-06
"317" 1.58936866930675e-06 2.22912885752452e-07 4.92330001468761e-07
"318" 2.09563168557867e-06 1.23474355594476e-06 3.25438919504835e-06
"319" 3.73207519090386e-06 1.45837259599302e-06 1.52822826747663e-05
"320" 5.02913961798619e-07 3.03294180369064e-07 2.51369397187988e-06
"321" 4.75852788409622e-06 1.99206127732284e-06 1.03730365208481e-07
"322" 2.34812593116665e-07 2.34739693802092e-07 1.13069582974609e-06
"323" 1.63786258289451e-07 6.85856329253736e-07 1.82942657004988e-06
"324" 4.6717875286731e-07 4.39366777402659e-07 8.78966591585264e-09
"325" 4.20741698991096e-06 2.32481315993598e-06 1.34401750974191e-06
"326" 3.55333181283153e-08 1.49891270006363e-06 4.15368988888836e-07
"327" 1.2692720039089e-06 1.66961759513472e-06 2.24661819442675e-06
"328" 5.763452431604e-07 4.02094285025742e-06 7.26621435821818e-07
"329" 4.18174544959706e-06 5.4192474677199e-07 2.53425191479466e-06
"330" 3.12062891263097e-06 5.5914164213382e-06 5.18642746186605e-06
"331" 8.68312754639891e-06 1.69719537141974e-06 2.81862090045668e-07
"332" 3.88762864124199e-06 5.62821772339281e-06 3.32049160729833e-06
"333" 1.00956720662399e-06 1.4406748698581e-06 1.23864127135263e-06
"334" 1.70152398907133e-05 1.67898791134139e-05 2.72627347488911e-07
"335" 4.28852328573397e-06 6.17815366320746e-08 6.22394039643726e-06
"336" 6.94782542805604e-08 1.81800987430597e-08 1.17651557884112e-07
"337" 9.38127633878038e-07 7.66896356960824e-07 5.59904022434142e-07
"338" 1.2243958640972e-07 3.39970777654319e-06 9.93378331626717e-07
"339" 3.66000738703367e-06 2.12107189002952e-06 1.65648878677542e-06
"340" 4.20650266106959e-06 8.94385055213331e-06 3.85781949930825e-06
"341" 2.37121201360175e-07 2.66258588717117e-06 7.34499745035982e-07
"342" 3.30314154058043e-07 3.14875510851975e-07 2.70246104341567e-06
"343" 2.02753300958165e-06 4.79131536782593e-08 4.54564543872814e-07
"344" 9.29208651270279e-07 4.02105627865366e-07 4.32326704254636e-06
"345" 1.98253392650999e-07 8.01793247197349e-06 6.32208445784771e-06
"346" 1.6114584054224e-06 2.93168463478419e-06 6.96898465501948e-07
"347" 5.82529748558934e-06 3.32807889071691e-07 1.7721051425097e-06
"348" 6.83851861698128e-07 2.1654733286681e-07 4.14661072299811e-07
"349" 2.83748945992166e-06 1.30744252800682e-07 5.92210832408036e-06
"350" 1.5230279941642e-07 4.96555090876048e-07 1.89655771389887e-07
"351" 2.248339351359e-06 1.11407231898198e-06 8.59889024403978e-07
"352" 1.0187145010658e-07 4.65350583926018e-07 1.73720891557439e-07
"353" 5.46203018240576e-06 3.46953391786627e-06 1.34364247871578e-05
"354" 9.21942834785164e-07 1.51183137917179e-08 5.89128922382013e-06
"355" 2.85154156359148e-06 2.0596384197303e-05 1.8686376105558e-06
"356" 1.41680969765072e-06 3.12314130873604e-07 1.07318892524913e-06
"357" 9.21918437069123e-07 6.5665797455546e-07 4.97237553273112e-07
"358" 2.02383695881841e-08 1.11998962431922e-07 9.10105585870504e-07
"359" 1.161590434066e-09 3.04492485263023e-07 4.86812803524635e-06
"360" 1.3856521209864e-07 8.24337010375534e-07 6.66730777353985e-07
"361" 2.35568091689551e-07 1.595163351832e-06 4.09884573257974e-06
"362" 4.99179747559743e-07 6.35660968191519e-06 4.06276434998875e-06
"363" 2.02957271531642e-07 1.51433862820875e-07 2.58076062047138e-06
"364" 1.45413138918508e-06 1.15656531087261e-06 3.4147616676781e-07
"365" 2.09264075053862e-06 2.52647310278692e-07 6.55390379330113e-07
"366" 4.80617609525985e-09 2.79024168592219e-07 3.57038136922308e-07
"367" 1.4659703787912e-05 7.6896410923224e-08 7.07302575638205e-07
"368" 7.86355459504253e-07 4.06370204429564e-06 3.3638881866431e-08
"369" 1.3658494253241e-07 1.80215484377543e-06 3.62206756032375e-09
"370" 1.6020327310173e-06 8.63435041447981e-06 1.95619168701913e-06
"371" 4.192143870847e-07 1.88015593733137e-07 2.74577482225783e-07
"372" 2.45181015011304e-08 5.65269711271044e-07 5.71552882547748e-07
"373" 3.63048631235605e-08 4.06270817830663e-07 1.78522584252491e-06
"374" 1.7226859740861e-06 1.86780731322693e-06 3.0846069852988e-07
"375" 1.82679159081349e-06 1.13514741342628e-06 4.99006256599269e-07
"376" 7.0563795087976e-06 4.59909162894302e-07 7.65844488793715e-08
"377" 3.8022317923385e-06 5.00891402819317e-06 7.80830107217302e-06
