"pstandard" "psalt" "pstandardxrec" "psaltxrec"
"minp" 2.42520513710743e-07 1.76378910222066e-06 7.03127052042373e-06 8.80666146130762e-06
"minp" 1.25542166717535e-06 2.23885321078097e-06 4.38188880593396e-07 4.20447040532655e-06
"minp" 6.68658353332833e-06 2.71255349136384e-06 6.42252931893199e-07 1.76240139665947e-06
"minp" 1.44265211704774e-06 9.04335572293164e-07 1.35383593422304e-06 2.31203381899272e-06
"minp" 2.04619706944156e-06 2.70801072395208e-06 6.69696187998893e-06 4.8917145001e-07
"minp" 9.48706465025495e-07 2.14073053746088e-06 1.76780333938656e-07 1.01584947661909e-08
"minp" 6.72509621987725e-07 2.96074490812179e-07 9.23408508728457e-07 1.56891487176058e-07
"minp" 1.07783977431004e-06 4.70445116261782e-06 5.65603967608738e-06 4.15684589722024e-07
"minp" 1.84621242769343e-08 1.79228166819445e-06 8.42418868170004e-06 1.50962178121757e-06
"minp" 1.03373445579149e-06 1.74256307984019e-08 9.62300803732998e-08 3.73495186948244e-07
"minp" 2.05766670393958e-06 2.44860952703722e-07 3.81781336625607e-07 2.51990443760275e-07
"minp" 1.99797498231623e-06 6.93973559930159e-07 3.70925212014376e-07 3.49086629396334e-06
"minp" 2.92880415035342e-06 3.45521389367365e-08 5.51528012720382e-06 6.15895312635562e-06
"minp" 2.02541141239511e-06 2.61109316404454e-06 1.37948666117072e-06 3.39113484234171e-07
"minp" 4.48557892008923e-06 1.57470773045672e-06 4.12410096923804e-07 1.97785684355073e-06
"minp" 3.11721857709977e-07 1.09953789176794e-06 1.80500345385689e-06 1.8125682025531e-06
"minp" 4.18501545285238e-06 6.98391563357533e-07 2.08427153034867e-06 6.58531371348421e-07
"minp" 2.16457767315942e-06 5.22341921565147e-07 1.92412856917524e-06 1.90728121367306e-06
"minp" 1.77235498986297e-06 7.21769894563092e-07 1.7471980467152e-06 8.12300022001433e-06
"minp" 7.781538146847e-06 3.55466759255149e-06 6.7338641287018e-06 2.55768722349434e-06
"minp" 4.3576404791391e-06 1.70255180474338e-06 4.99279925791866e-07 4.28031698930492e-06
"minp" 2.24202348479027e-06 1.9527145866707e-06 3.32364912726449e-06 2.53489309474086e-06
"minp" 1.15148831054868e-05 1.63096460229183e-05 1.51663407709688e-06 1.0514730348069e-05
"minp" 4.17236096201479e-06 1.41149519130627e-06 3.7173524137189e-06 9.67955712118068e-08
"minp" 3.66710174896598e-06 1.45325025710402e-06 1.41489804156751e-06 8.70281125031208e-07
"minp" 9.85595578698129e-07 2.84058282850178e-07 8.64949792736994e-08 3.07261287225091e-06
"minp" 1.07247906398868e-07 9.42103862806275e-06 6.55120934438443e-07 4.83715541169722e-07
"minp" 2.53027394883054e-07 1.83227110390057e-07 2.84291540257445e-06 2.18458451955661e-07
"minp" 2.31877915302585e-06 1.98422687803028e-06 6.10415068167249e-06 1.14042076239074e-06
"minp" 2.36279938280712e-06 7.65494037271386e-06 1.3603025092657e-08 1.80833086481137e-06
"minp" 6.27241863117394e-07 7.4570133720803e-07 3.00621804359094e-06 2.23364073623821e-06
"minp" 4.85563398345765e-06 4.3441084777059e-06 2.32250074469009e-06 8.32213568623639e-07
"minp" 4.92499206732161e-08 1.98777967915718e-06 5.23335274008671e-07 3.25451332817625e-07
"minp" 1.06209266604352e-07 9.04283981336091e-07 3.49862213207588e-06 1.78287051075204e-06
"minp" 1.45638441791047e-06 2.72986346042012e-06 8.79823705831288e-07 4.12030682187196e-07
"minp" 4.65398791485407e-07 4.76658280538414e-06 9.80731520825582e-07 3.27464673061853e-06
"minp" 4.0109303563148e-06 1.74907771496582e-06 1.01598705229618e-06 1.72466428734866e-06
"minp" 2.67568566547231e-06 1.62311046979013e-06 7.44276060965244e-07 6.05245339463566e-06
"minp" 7.77236274233871e-07 3.54615754341405e-06 3.06618788227574e-07 3.49823502079938e-07
"minp" 3.66052244152823e-07 2.13029851666326e-06 4.12518361376089e-06 3.01299553625904e-08
"minp" 1.94805213627048e-06 4.20941020031154e-06 1.98394453961972e-06 6.69174840532961e-07
"minp" 3.94148073052988e-06 1.6229038132403e-06 6.4287303145522e-07 2.75360855257434e-06
"minp" 2.50093093076539e-06 1.51296113808843e-06 1.70392942685715e-06 1.37747682118006e-07
"minp" 5.0223285230938e-07 7.94399530575281e-07 4.54563809058938e-06 6.37967879043867e-06
"minp" 3.45785156260505e-07 6.28998204121765e-06 3.80071138387485e-06 3.47909378486409e-06
"minp" 4.49860728096751e-06 1.77412522550494e-07 6.01265572344373e-07 2.8002362207921e-07
"minp" 6.92254930920825e-07 2.45152686494118e-06 1.02180379342222e-06 1.92290093576434e-06
"minp" 2.7131304218632e-07 4.11767650386784e-07 1.53756418867127e-06 6.38304246972651e-06
"minp" 3.49747958494535e-06 6.15788720851251e-06 6.14926934145746e-07 3.29557285915672e-06
"minp" 5.55040140081792e-06 2.11899179459919e-06 3.54475355834031e-06 1.04031863849548e-06
"minp" 1.17091895065643e-06 3.85390780792688e-06 6.1409627815175e-07 3.68373561132604e-06
"minp" 1.10550752801192e-06 2.21489079806474e-07 6.89486223129611e-07 8.56400525303951e-07
"minp" 4.54452593516258e-07 3.58804890034721e-06 2.14150955522393e-07 6.88323940193525e-07
"minp" 7.48998561735689e-07 5.90609867938844e-06 1.73941306226732e-06 4.50128488080475e-07
"minp" 7.35203254015167e-07 4.62961442543041e-06 4.62537048005868e-07 2.0481360748831e-06
"minp" 5.56291525059656e-07 2.8173453908561e-07 2.39002333953571e-06 3.56757010312108e-06
"minp" 2.54721644892894e-07 6.13725096663791e-06 2.34574784810353e-07 4.8431363639327e-06
"minp" 2.57944163002381e-06 2.07621698596505e-06 1.38873548428406e-06 3.10883902960126e-06
"minp" 2.97688696483478e-06 1.93809128986317e-06 1.09579333129281e-06 7.5951815912421e-07
"minp" 1.1911586491031e-06 3.22956295837309e-06 6.64303225690217e-07 5.14488698650477e-07
"minp" 2.52764507801368e-07 4.45597892166598e-06 3.50082974812164e-06 4.62312881194498e-06
"minp" 1.18319954831457e-06 7.40265145909615e-06 4.74396880504177e-07 1.19810682125732e-06
"minp" 2.86999192347244e-07 1.83777523100748e-06 3.55582747783033e-07 1.02591047634889e-05
"minp" 6.73558720477355e-07 1.04273962035865e-05 1.72615811828555e-06 2.84121353096381e-06
"minp" 6.11470164517767e-07 4.29615348568358e-06 5.94035429482319e-07 5.58501597773007e-07
"minp" 2.53606911186789e-06 4.71223243446428e-06 2.54195174523177e-08 2.34268335186216e-06
"minp" 1.05965945554284e-06 3.32891388304266e-06 7.96988603189157e-07 3.0531762962081e-06
"minp" 5.23730531322431e-06 2.7275566598992e-07 2.47511250247733e-07 7.889015474261e-07
"minp" 1.53588475564572e-06 2.47840721243144e-06 1.76459180971117e-06 1.09396239175139e-05
"minp" 5.5986951617143e-07 1.970348179921e-06 2.47625762205017e-06 3.98817322629521e-06
"minp" 1.16500266879144e-06 7.7558236530542e-07 8.36763797021e-06 4.12011978646808e-06
"minp" 1.7251570956959e-06 1.40509954862618e-06 9.99256658553503e-07 2.75025124598352e-07
"minp" 9.15971259904908e-07 2.4900864600917e-06 1.86303153893858e-07 1.08115595632803e-06
"minp" 3.71530563656221e-07 7.36382639783843e-07 5.49695438247606e-06 2.41940440357088e-06
"minp" 5.84610729464862e-07 1.86316775255415e-07 4.96425395615876e-06 3.6410823090918e-06
"minp" 1.36567284343425e-06 8.14573598002889e-07 1.44800025344437e-06 5.18373212839813e-08
"minp" 9.93811255281213e-07 1.9392510422552e-06 1.62601975297875e-06 1.03518568357364e-06
"minp" 5.25606090129683e-06 2.60891796238117e-06 2.41630929518397e-06 3.98285317196364e-06
"minp" 1.54223449374505e-06 3.81060674842104e-06 6.41004614541093e-07 7.8532014462046e-06
"minp" 7.30768576743573e-07 3.18139407154385e-06 1.77693022381077e-06 4.17777038676102e-06
"minp" 5.06269405131626e-07 1.51010815606409e-06 6.67517777550836e-06 1.10238728706339e-06
"minp" 1.19506602781953e-06 5.46231578837316e-07 3.36954843788738e-06 9.54424975003320e-09
"minp" 6.80034527944239e-07 5.86522193858371e-07 1.0091108673799e-06 4.6156557788475e-06
"minp" 2.56339066843721e-06 1.18800582530883e-06 8.39974952732496e-07 4.61973019934725e-07
"minp" 1.20758601771159e-07 1.64177651422456e-07 2.19392338625492e-06 5.11967612467438e-06
"minp" 2.21083435951025e-07 7.86766554520945e-07 1.18912677478011e-06 1.02086987034449e-06
"minp" 9.68536004109152e-07 1.25622075328282e-06 2.65075425268146e-06 1.27245020108381e-06
"minp" 7.99616496304309e-07 1.07256121027319e-08 9.17575450844544e-07 2.14647802089282e-06
"minp" 1.0218562287747e-06 5.83690802748099e-06 1.34108573798828e-06 7.40914074876557e-07
"minp" 8.92104293583555e-07 8.24483969824678e-07 9.33736949433658e-07 4.74507948650743e-07
"minp" 2.17183450042136e-07 3.24045096232908e-06 1.91047566534465e-06 6.44919575575025e-07
"minp" 2.88603105474832e-06 2.28334640990075e-06 1.79460768234716e-06 4.99569115778082e-07
"minp" 4.72793610360906e-06 3.02930701547915e-06 1.77043213500718e-07 3.5732488421839e-06
"minp" 1.75586834162963e-07 3.58225442541381e-06 1.0316050281417e-06 1.24611652527663e-06
"minp" 4.1622991727772e-08 4.42022225244721e-06 9.31005868153894e-08 3.69198298704438e-08
"minp" 2.25436141767018e-06 7.91892367081773e-07 1.49019673932893e-06 9.76173345317696e-07
"minp" 1.87451079885535e-06 8.19520105340708e-06 1.63916288376181e-06 5.69224968313546e-06
"minp" 2.17380354186571e-06 2.53744565189774e-06 3.61591830965262e-06 6.2674054803017e-06
"minp" 1.09189129939476e-06 1.92818624282815e-06 4.92173691044142e-07 1.0751434198745e-06
"minp" 1.44283270788877e-07 1.02752399402627e-06 4.70939160205602e-06 1.89320167217636e-06
"minp" 5.26381480992885e-07 4.57915692999887e-06 2.90100460113267e-06 1.42176803838831e-06
"minp" 2.99086763173794e-08 8.83817284152454e-07 1.07151488112509e-06 1.82670161145167e-05
"minp" 9.35133064245466e-06 2.70205903389924e-06 2.55286132512751e-06 1.59671564600856e-06
"minp" 2.1352894810564e-06 2.34469864179923e-06 4.1630809528638e-06 3.41523896852892e-07
"minp" 4.17117981678436e-07 9.75240130097648e-07 1.97433676000062e-06 1.28193073522992e-06
"minp" 4.58249457296199e-07 4.23044221675212e-08 5.32034693699242e-07 1.66969688458047e-06
"minp" 2.0716730102583e-06 8.39814129466947e-08 6.73206106764337e-07 7.48473569859564e-07
"minp" 1.60745985742542e-06 3.19062302825035e-06 8.2964718065958e-07 3.07048943949827e-06
"minp" 1.65987602767876e-06 3.02945695470674e-06 7.00929948002944e-06 2.74503391821368e-07
"minp" 1.89797884248674e-07 5.0016656540052e-07 5.50278887525488e-07 1.187026550257e-06
"minp" 1.04789520559059e-07 1.41194064626432e-07 4.02923426476865e-06 1.10872304172489e-08
"minp" 1.52676553149424e-06 7.05512838040028e-07 2.93293542767148e-06 1.19645509762622e-06
"minp" 2.17126020115086e-06 2.74025466082194e-07 1.23478700241642e-06 2.5572446301428e-06
"minp" 7.37183929832463e-07 5.90583410740866e-07 1.13529516489515e-07 1.04398444502208e-05
"minp" 1.06543939270348e-06 2.35412681483098e-06 3.07133700573876e-06 7.66252239554573e-07
"minp" 1.43404685521099e-06 3.07652838889118e-06 1.84870988709868e-07 2.60209793551859e-06
"minp" 6.88029284412593e-08 1.45281736953676e-06 2.68813107706245e-07 3.04235917791727e-06
"minp" 1.10145012949995e-06 1.99700540835515e-06 1.69047750561702e-06 2.08598019638458e-06
"minp" 2.52943443217805e-06 1.29429545084181e-05 1.07131579556014e-07 5.27494582910099e-07
"minp" 2.99417687944409e-06 2.72395215070419e-06 2.86582037433755e-06 2.12793610231461e-08
"minp" 2.61472691886629e-07 3.72606258685365e-07 2.70170404278967e-06 2.09458568898906e-06
"minp" 3.9133205283969e-07 1.76723857163365e-07 3.13179057161317e-06 1.83227083369302e-06
"minp" 2.39551056243589e-06 3.69708745512799e-06 6.46701654362388e-07 4.28689436192195e-08
"minp" 1.1575439508186e-07 1.15574616434653e-06 4.80011573048448e-08 1.20591340263397e-06
"minp" 2.49385335566118e-06 7.68774455185718e-08 4.80264732034185e-07 3.93163730561261e-08
"minp" 1.06854809714961e-06 8.16521625566194e-06 1.58514469242068e-06 5.73221517955163e-06
"minp" 1.55390364497637e-06 3.19785018987116e-08 6.29559890713556e-07 9.09591816314653e-07
"minp" 3.86104326306965e-07 1.48391733789493e-06 9.45454049201295e-08 2.6496372948712e-06
"minp" 2.87226941829558e-07 1.77806415393649e-06 3.04247429695239e-06 5.11681678779206e-08
"minp" 2.58457993874416e-06 9.26618772971322e-07 8.68237035832782e-07 1.47819324614599e-06
"minp" 4.26304557601275e-06 9.08445711463829e-08 2.92656898953409e-06 2.98002376722974e-06
"minp" 4.09376689329763e-06 3.79098725061841e-07 1.75100152116754e-06 1.20358211953925e-06
"minp" 8.88327500272003e-07 2.1377499495357e-06 1.29938574229104e-06 5.01931443044019e-07
"minp" 6.46802618914394e-06 9.64971274146704e-07 4.41487555053689e-07 1.12780348172451e-06
"minp" 2.20360300820416e-07 2.12486768092835e-06 6.24313127581632e-06 8.3083370539321e-07
"minp" 4.96797080570598e-06 2.19442123079128e-06 5.48447271172233e-07 2.15068170276362e-08
"minp" 1.03915766949746e-06 9.87438227278025e-07 1.10888518761609e-06 3.39521753003548e-06
"minp" 2.3086626071187e-07 5.6958157256528e-06 4.68621064805055e-07 4.39989359108516e-08
"minp" 6.83795646048935e-06 8.15749444812644e-08 9.66424581664696e-07 4.15221875001033e-06
"minp" 1.11918164803217e-06 1.02726818625397e-05 5.12317323201156e-09 2.73728484106692e-07
"minp" 1.96705158500944e-06 1.25414696064218e-06 1.7533495782564e-06 9.58867554574152e-09
"minp" 2.42624302492487e-06 3.39020545877078e-06 8.12686789924763e-06 6.72945697285926e-08
"minp" 1.88669828584752e-06 2.50167730743552e-06 5.47246646801021e-06 1.2902324022364e-09
"minp" 1.43155715172652e-06 8.55892655035171e-07 4.977837567438e-06 1.75862467094011e-06
"minp" 3.19656337900411e-07 6.09059721795055e-06 1.30083480208515e-06 1.1990196861776e-06
"minp" 1.51652119196544e-06 2.46234270620254e-06 3.20310377504189e-06 4.59933493090041e-06
"minp" 1.22173869570796e-06 9.55570198334821e-07 3.33547501198278e-07 3.04824498212617e-06
"minp" 6.3931508553683e-06 2.46322687752159e-07 2.76777653617766e-06 1.23618515762518e-06
"minp" 3.90720430794838e-06 5.33484398525116e-07 2.72489948059124e-06 5.17540174967966e-07
"minp" 2.87281381422773e-06 5.344815205865e-06 1.19076945505513e-06 7.90830816454986e-07
"minp" 1.25824472509863e-06 4.5326199630004e-06 1.82576408023073e-06 2.73479584357637e-06
"minp" 6.1126569018681e-06 1.72406408193826e-06 2.70050432502871e-06 5.72391365377209e-06
"minp" 6.80717466566531e-06 2.71541702413108e-06 9.62456697040045e-07 4.3987052199085e-06
"minp" 1.44855787792606e-06 1.89844990908987e-07 2.19934265386669e-06 1.70523056605776e-06
"minp" 2.11368647998942e-07 6.64842297383924e-07 1.08233467462791e-06 6.4705196355564e-08
"minp" 6.25091088862372e-08 6.97051997231065e-06 8.53498549644391e-07 2.71645807031587e-06
"minp" 2.76261930868159e-07 7.96559912157052e-07 2.67438109562367e-06 8.95977882270131e-07
"minp" 2.65016764187503e-06 1.63847766930573e-06 2.60645080529226e-06 4.12958190336611e-06
"minp" 9.94841282950043e-08 6.45917124072126e-06 1.78740937381088e-06 1.27201794879947e-06
"minp" 2.14964562761071e-06 4.30969197962764e-06 2.22013709910162e-06 8.59476859699446e-07
"minp" 1.96801556595145e-07 1.04860582866082e-06 2.29608836686684e-06 2.54367389606938e-06
"minp" 6.97737851615234e-07 5.66761854337887e-06 4.09271213217257e-08 5.48419200866915e-06
"minp" 3.09474318063098e-08 5.46378692423158e-06 1.27932117584625e-06 9.63260255781581e-07
"minp" 1.07561212344993e-06 2.91692165697888e-06 1.39918120662681e-06 1.50316641286194e-06
"minp" 2.87959162037259e-06 1.90605515304419e-06 6.35848726208641e-08 2.29096932683714e-06
"minp" 1.3757267177291e-06 2.38642301714935e-06 3.61756561063686e-07 9.32544939368432e-07
"minp" 1.12100372226325e-06 3.59993320663129e-06 3.29756673743318e-07 2.41083020900055e-06
"minp" 6.84839593812977e-06 1.95916607476e-06 1.28158921971568e-06 1.83607429666464e-06
"minp" 8.14171075561935e-07 3.17030056077008e-06 2.1632969941683e-06 8.82330419786233e-07
"minp" 2.36581438014276e-06 7.5246415062911e-07 2.37472064293422e-06 2.0893473209082e-06
"minp" 1.99587484802493e-06 2.11543862685267e-06 2.62608374766621e-07 4.00911439962536e-07
"minp" 4.7270455466335e-08 1.4029753227364e-07 1.10169562642988e-06 1.00705990673081e-06
"minp" 5.72169144608028e-06 1.08366150122168e-06 7.29041261641291e-07 8.16562469325801e-07
"minp" 5.57371200072873e-06 2.17730709818385e-06 1.50926316674478e-07 4.5527278621404e-07
"minp" 2.03851397260714e-06 2.17888462018845e-06 2.35064839684854e-06 5.20471586818782e-06
"minp" 6.55992169378501e-07 4.09663886707751e-06 1.13962262442918e-06 1.44963833006302e-06
"minp" 8.99492044915937e-08 3.70912425068552e-06 2.75345969749035e-06 2.14922602857771e-06
"minp" 9.92904534716254e-07 1.8126100027268e-07 9.87837924977219e-07 6.7900822902472e-07
"minp" 2.12369553614132e-06 2.85111425225908e-06 1.33595580270529e-06 2.01250117449007e-06
"minp" 1.37782918669661e-06 1.50688435255292e-07 5.58505408479447e-07 4.40503495065704e-06
"minp" 2.6941123821814e-07 5.06355351784645e-06 6.66282902609407e-07 7.46896337775012e-06
"minp" 5.83260787558572e-06 2.20840680843725e-07 1.0926290743231e-06 2.1747371779279e-06
"minp" 3.72710488788776e-07 1.30411193277884e-06 1.8378500713255e-06 8.38252596622294e-07
"minp" 3.51109925611918e-06 1.20425938953208e-05 9.90764988200062e-07 5.73357796956436e-06
"minp" 4.56504967567207e-07 6.01818959914456e-06 4.2810649212921e-07 6.2035944697051e-08
"minp" 5.77599589986121e-06 4.53765946047723e-06 2.2663266433233e-07 6.50124370892123e-06
"minp" 3.25847648234555e-07 9.77540131361101e-07 1.90064718721316e-06 1.70733663408921e-06
"minp" 2.82913819540701e-06 3.97286341922543e-07 3.77984290836598e-06 1.64397866486912e-06
"minp" 2.80937090805762e-07 8.49026061312552e-07 1.28695348468808e-06 1.70528000889183e-06
"minp" 9.35946109413465e-07 3.71265623738706e-08 2.27213584651056e-06 3.23373050448928e-06
"minp" 1.33753264967912e-08 3.57812859009023e-06 3.69508458026915e-08 1.6165279635205e-06
"minp" 2.81320512795651e-07 3.06406438360275e-07 3.43806170334666e-06 2.60658154213871e-06
"minp" 3.45665980528724e-06 1.97172710242624e-07 5.21515450018175e-07 3.07333469797694e-08
"minp" 3.24187284898181e-07 6.32033865121824e-06 5.98819191844716e-07 7.17697337266115e-07
"minp" 4.41675870691649e-06 3.67572171228541e-06 9.97472043288036e-06 3.28878124809528e-06
"minp" 1.74755260493679e-06 5.81276276857407e-06 9.65544930636953e-07 3.08525051392611e-06
"minp" 5.00941315957083e-06 9.78942856905341e-06 6.29737585962349e-07 4.21983255050442e-06
"minp" 2.25208773778893e-06 6.84015459020166e-07 5.93044599562711e-06 2.60859505213469e-06
"minp" 5.12250936832469e-06 2.64307796153447e-06 6.97069705569818e-07 2.82290841261631e-06
"minp" 1.21918078586898e-06 8.74955734746876e-06 1.43764644120827e-06 2.78302224980841e-07
"minp" 1.81521478796827e-05 2.09520785103314e-06 5.29373923662983e-06 6.30914007063111e-07
"minp" 3.31128350981772e-06 1.01367699817685e-06 1.56503808825919e-06 1.21686704354009e-06
"minp" 3.57141752754515e-07 1.89765418952521e-06 2.85874684785199e-06 1.18206039310232e-05
"minp" 4.31926901857348e-06 1.01887606778724e-06 1.68336480581654e-08 7.76118548438691e-08
"minp" 9.58048332421596e-06 1.83493303566943e-06 9.1609889164886e-07 3.12939813925542e-07
"minp" 5.5075895015849e-06 1.45912059449536e-06 2.06764064727531e-06 3.43085684393631e-06
"minp" 1.95677515908205e-06 4.59870719772001e-07 1.689794512529e-06 4.1918209622576e-06
"minp" 3.04864616374322e-06 2.6879909853475e-06 2.85076087060916e-06 3.87299027658481e-06
"minp" 1.40526589134511e-06 8.1397206810712e-06 5.51213410328703e-07 1.15547606939673e-06
"minp" 1.08425376328731e-07 3.36183679088524e-07 2.11720548812148e-07 7.80677121987812e-09
"minp" 1.52374963178614e-06 3.79175007848961e-07 5.1881331623392e-07 9.98335961803889e-07
"minp" 2.77843462611843e-07 1.70494921552434e-06 3.90656490369397e-07 2.90177872115965e-06
"minp" 5.39662660164718e-06 2.64316344477752e-07 1.86256866818589e-06 3.43626538195559e-07
"minp" 1.7989906229964e-06 4.42271926043665e-06 5.07231796694336e-06 5.94466408855812e-07
"minp" 1.21068440436422e-06 9.02797621452949e-07 2.14420871889818e-06 2.08305552743065e-09
"minp" 7.9150415872108e-06 2.54955472943198e-07 3.22458031101125e-06 3.29343502403386e-06
"minp" 7.51859407026751e-07 1.30244324263571e-07 1.64198468161784e-06 8.00632319549703e-07
"minp" 8.72173600383386e-07 4.57941021346548e-08 2.56142391752032e-07 2.82027616198533e-06
"minp" 5.24034580204237e-06 2.0868587935985e-06 1.52673075715297e-06 3.62905353377875e-06
"minp" 2.51695403560598e-07 2.85877242599951e-06 1.05782582206552e-06 1.14608806082226e-05
"minp" 8.00561774349957e-07 2.11482359441878e-06 4.59904084056765e-07 2.8210092908786e-06
"minp" 1.9645048377353e-07 6.19811667700221e-08 7.81202295966144e-07 4.60430774364873e-08
"minp" 2.47247722545511e-06 1.2749805330744e-06 8.32367946223838e-07 5.97757805197363e-08
"minp" 1.76571436562284e-07 3.43697558207526e-06 2.83218416435898e-06 3.36629822508607e-06
"minp" 9.75251608689008e-07 4.69513694916718e-07 1.97736683977998e-06 1.03817293111514e-07
"minp" 4.74208996422062e-06 5.40174997258226e-06 2.30439710203544e-06 1.18450663194809e-05
"minp" 5.41040390968864e-07 1.88977072745721e-06 2.20105193521738e-07 1.18491982831155e-07
"minp" 7.30769622820221e-07 1.83282417346928e-06 1.09160413091816e-06 2.56193803792313e-06
"minp" 1.73793665484765e-06 4.54088707947256e-06 8.20437543532734e-06 1.02177007045292e-06
"minp" 6.27133946713785e-07 1.45492926183862e-06 6.502203273511e-06 3.74621897729698e-06
"minp" 1.46877409020449e-07 1.07236992452803e-06 7.94728350874461e-06 1.44823255221902e-06
"minp" 1.5236043732785e-07 1.20760989267236e-07 2.04471990591504e-06 3.79903830159789e-06
"minp" 9.71959704649587e-07 1.5499194277248e-07 4.81138781209084e-06 2.48129672430385e-06
"minp" 9.4864729386543e-08 2.69376873070806e-06 6.43122285321253e-07 8.68199280296818e-07
"minp" 7.54443610022808e-07 2.2077639112813e-09 1.16475362947448e-06 3.27261389836401e-07
"minp" 1.06760961497991e-06 8.74409092230096e-07 3.8627656521915e-06 1.56694639058004e-05
"minp" 5.038040690473e-06 4.21788863147908e-06 9.00060692549788e-07 8.99635689417857e-08
"minp" 1.806797538783e-06 2.24683434942392e-06 1.83765742228369e-06 4.35219026366979e-06
"minp" 5.2004760755331e-06 1.77990243040297e-06 1.67882635479509e-07 5.02425643292181e-07
"minp" 1.64775845350458e-06 9.55076668408813e-06 1.7340383006139e-06 4.19971169993494e-06
